1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
442	-1.065090	228.623096	0.010028	2.3
443	-1.051720	228.370846	0.013353	2.4
444	-0.715129	228.119336	0.018143	2.4
445	-0.504974	227.868563	0.003130	2.4
446	-0.619545	227.618525	0.005846	2.4
447	-1.077363	227.369216	0.038792	2.4
448	-0.539876	227.120635	0.020922	2.4
449	-0.896623	226.872777	0.030438	2.4
450	-1.096501	226.625638	0.028914	2.3
451	-0.722487	226.379217	0.006693	2.3
452	-0.603194	226.133509	0.005203	2.4
453	-0.661296	225.888510	0.008268	2.4
454	-0.581107	225.644218	0.017671	2.4
455	-0.453289	225.400630	0.008973	2.5
456	-0.653522	225.157741	0.010750	2.4
457	-0.655100	224.915549	0.007582	2.4
458	-0.582919	224.674051	0.007249	2.4
459	-0.971964	224.433242	0.006869	2.3
460	-0.667115	224.193121	0.006613	2.4
461	-0.780953	223.953684	0.008732	2.4
462	-0.447086	223.714927	0.005525	2.4
463	-0.501686	223.476848	0.011055	2.3
464	-0.654848	223.239444	0.008339	2.3
465	-0.653264	223.002710	0.010047	2.3
466	-0.727495	222.766645	0.006897	2.3
467	-0.828496	222.531245	0.008476	2.4
468	-0.842571	222.296508	0.020928	2.6
469	-0.439930	222.062429	0.004524	2.4
470	-0.794264	221.829007	0.030841	2.4
471	-0.559134	221.596238	0.011373	2.8
472	-1.000527	221.364119	0.042435	3.0
473	-0.819897	221.132647	0.009543	2.8
474	-0.360662	220.901820	0.002976	3.1
475	-0.763329	220.671634	0.027613	3.0
476	-0.837651	220.442086	0.031633	2.8
477	-0.054841	220.213174	0.001036	2.6
478	-1.008526	219.984895	0.022855	2.5
479	-0.920028	219.757246	0.017550	2.5
480	-0.624837	219.530224	0.007813	2.5
481	-0.754088	219.303826	0.034234	2.3
482	-0.832347	219.078050	0.040929	2.3
483	-0.378632	218.852893	0.015373	2.4
484	-0.443765	218.628352	0.003574	2.4
485	-0.942859	218.404424	0.032393	2.5
486	-0.720161	218.181106	0.008817	2.4
487	-0.716668	217.958397	0.007634	2.4
488	-0.508844	217.736292	0.006791	2.4
489	-0.684213	217.514790	0.004748	2.4
490	-0.700303	217.293888	0.005867	2.3
491	-0.665132	217.073584	0.006529	2.3
492	-0.654514	216.853873	0.006707	2.4
493	-0.609035	216.634755	0.003348	2.4
494	-0.558399	216.416227	0.010351	2.4
495	-0.444249	216.198285	0.005049	2.4
496	-0.375313	215.980927	0.018969	2.3
497	-0.418424	215.764151	0.002404	2.3
498	-0.728636	215.547955	0.005823	2.3
499	-0.482637	215.332335	0.003658	2.5
500	-0.421189	215.117289	0.011253	2.4
501	-0.463741	214.902815	0.007661	2.4
502	-0.962605	214.688911	0.038635	2.4
503	-1.063604	214.475573	0.027030	2.4
504	-0.731704	214.262800	0.033331	2.4
505	-0.785403	214.050588	0.014346	2.4
506	-0.694163	213.838936	0.006848	2.4
507	-0.576213	213.627842	0.007692	2.4
508	-0.688116	213.417302	0.009512	2.4
509	-0.004456	213.207314	0.000017	2.4
510	-0.539238	212.997877	0.004618	2.4
511	-1.135239	212.788987	0.022611	2.3
512	-1.007841	212.580642	0.029521	2.3
513	-1.084541	212.372841	0.031131	2.6
514	-0.616018	212.165581	0.017257	2.4
515	-0.689691	211.958859	0.007884	2.3
516	-0.742369	211.752673	0.011126	2.3
517	-1.109500	211.547021	0.027949	2.4
518	-0.595371	211.341902	0.008109	2.5
519	-0.555518	211.137311	0.019187	2.4
520	-0.795370	210.933248	0.015472	2.4
