1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
373	-0.789577	140.059005	0.370440	0.030383	0.8
374	-0.761876	139.592315	0.371517	0.046874	0.9
375	-0.780770	139.124699	0.372602	0.031690	0.8
376	-0.746660	140.124699	0.370289	0.023680	0.8
377	-0.792075	139.656516	0.371368	0.020930	0.8
378	-0.753149	140.651131	0.369083	0.034171	0.8
379	-0.802225	141.610868	0.366905	0.036587	0.8
380	-0.758236	142.331728	0.365286	0.038052	0.8
381	-0.781161	141.863518	0.366336	0.029025	0.9
382	-0.773463	141.396430	0.367389	0.040544	0.8
383	-0.765013	142.000583	0.366028	0.035179	0.8
384	-0.766649	141.532424	0.367082	0.034918	0.8
385	-0.801779	142.357213	0.365229	0.030469	0.8
386	-0.814915	143.079937	0.363620	0.031333	0.8
387	-0.784658	142.618981	0.364644	0.018291	0.8
388	-0.725873	142.150775	0.365691	0.034840	0.8
389	-0.807044	142.090616	0.365826	0.042114	0.8
390	-0.796674	143.090616	0.363596	0.025989	0.8
391	-0.774888	142.678884	0.364511	0.040014	0.8
392	-0.765228	143.678884	0.362297	0.040410	0.8
393	-0.800631	143.210735	0.363330	0.021200	0.8
394	-0.790258	144.210057	0.361133	0.040463	0.9
395	-0.769100	143.756213	0.362127	0.054130	0.8
396	-0.782062	144.756213	0.359943	0.037267	0.8
397	-0.774264	145.756213	0.357784	0.029945	0.8
398	-0.755364	146.756123	0.355652	0.045140	0.8
399	-0.742020	147.756123	0.353544	0.029823	0.8
400	-0.820612	147.288898	0.354526	0.030551	0.8
401	-0.804668	148.288896	0.352432	0.032852	0.9
402	-0.794199	148.659421	0.351662	0.060630	0.8
403	-0.754803	149.659421	0.349601	0.025784	0.9
404	-0.760719	150.659418	0.347565	0.027935	0.8
405	-0.758206	150.191208	0.348515	0.029405	0.9
406	-0.784155	149.726428	0.349464	0.030304	0.8
407	-0.789685	150.726110	0.347430	0.028842	0.8
408	-0.776594	151.725944	0.345419	0.050721	0.8
409	-0.783127	151.258007	0.346357	0.041256	0.8
